ocel_event_id;ocel_object_id;ocel_qualifier
load_veh_cr5_vh5_start;vh5;VH loaded
load_veh_cr5_vh5_complete;cr5;CR loaded
load_veh_cr5_vh5_complete;fl1;FL moved
load_veh_cr5_vh5_complete;vh5;VH laded
reg_co5;co5;registered CO
reg_co6;co6;registered CO
create_td2;co3;TD created for CO
create_td2;td2;created TD
create_td3;co2;TD created for CO
create_td3;td3;created TD
book_vehs_td2;td2;VHs booked for TD
book_vehs_td2;vh1;booked VHs
book_vehs_td2;vh6;booked VHs
order_crs_td2;td2;ordered for TD
order_crs_td2;cr7;CRs ordered
order_crs_td2;cr6;CRs ordered
order_crs_td2;cr8;CRs ordered
order_crs_td2;cr9;CRs ordered
order_crs_td2;cr10;CRs ordered
pick_cr6_start;cr6;CR picked
pick_cr6_start;tr2;TR moved
collect_hu6_complete;hu6;HU collected
14511_leave_Truck Depot_tr2;tr2;moved_object
14511_leave_Truck Depot_tr2;loc_Truck_Depot;location
14512_enter_Supplier_tr2;tr2;moved_object
14512_enter_Supplier_tr2;loc_Supplier;location
pick_cr6_complete;cr6;CR picked
pick_cr6_complete;tr2;TR moved
14513_leave_Supplier_tr2;tr2;moved_object
14513_leave_Supplier_tr2;loc_Supplier;location
collect_hu4_complete;hu4;HU collected
book_vehs_td3;td3;VHs booked for TD
book_vehs_td3;vh3;booked VHs
collect_hu7_complete;hu7;HU collected
order_crs_td3;td3;ordered for TD
order_crs_td3;cr11;CRs ordered
order_crs_td3;cr12;CRs ordered
order_crs_td3;cr13;CRs ordered
order_crs_td3;cr14;CRs ordered
14514_enter_Supplier Loading Area_tr2;tr2;moved_object
14514_enter_Supplier Loading Area_tr2;loc_Supplier_Loading_Area;location
14515_enter_Supplier Loading Area_cr6;cr6;moved_object
14515_enter_Supplier Loading Area_cr6;loc_Supplier_Loading_Area;location
load_truck_hu4_complete;hu4;HU loaded
load_truck_hu4_complete;cr6;CR laded
load_truck_hu4_complete;tr2;TR laded
reg_co7;co7;registered CO
load_truck_hu6_complete;hu6;HU loaded
load_truck_hu6_complete;cr6;CR laded
load_truck_hu6_complete;tr2;TR laded
pick_cr7_start;cr7;CR picked
pick_cr7_start;tr4;TR moved
14516_leave_Truck Depot_tr4;tr4;moved_object
14516_leave_Truck Depot_tr4;loc_Truck_Depot;location
collect_hu14_complete;hu14;HU collected
load_truck_hu7_complete;hu7;HU loaded
load_truck_hu7_complete;cr6;CR laded
load_truck_hu7_complete;tr2;TR laded
collect_hu11_complete;hu11;HU collected
collect_hu5_complete;hu5;HU collected
collect_hu10_complete;hu10;HU collected
load_truck_hu5_complete;hu5;HU loaded
load_truck_hu5_complete;cr6;CR laded
load_truck_hu5_complete;tr2;TR laded
collect_hu3_complete;hu3;HU collected
collect_hu8_complete;hu8;HU collected
load_truck_hu3_complete;hu3;HU loaded
load_truck_hu3_complete;cr6;CR laded
load_truck_hu3_complete;tr2;TR laded
collect_hu12_complete;hu12;HU collected
collect_hu13_complete;hu13;HU collected
load_truck_hu8_complete;hu8;HU loaded
load_truck_hu8_complete;cr6;CR laded
load_truck_hu8_complete;tr2;TR laded
drive_term_cr6_start;cr6;CR moved
drive_term_cr6_start;tr2;TR moved
14517_leave_Supplier Loading Area_tr2;tr2;moved_object
14517_leave_Supplier Loading Area_tr2;loc_Supplier_Loading_Area;location
14518_leave_Supplier Loading Area_cr6;cr6;moved_object
