ocel_source_id;ocel_target_id;ocel_qualifier
cr3;hu116;CR contains HU
cr3;hu117;CR contains HU
cr3;hu114;CR contains HU
cr28;hu123;CR contains HU
cr28;hu125;CR contains HU
cr28;hu124;CR contains HU
cr28;hu121;CR contains HU
cr28;hu120;CR contains HU
tr2;cr45;TR loads CR
cr45;hu127;CR contains HU
cr45;hu128;CR contains HU
cr45;hu131;CR contains HU
cr45;hu126;CR contains HU
cr45;hu129;CR contains HU
cr45;hu130;CR contains HU
co16;td14;TD for CO
tr5;cr48;TR loads CR
td14;vh4;High-Prio VH for TD
td14;vh5;Regular VH for TD
co15;td15;TD for CO
cr48;hu134;CR contains HU
cr48;hu137;CR contains HU
cr48;hu136;CR contains HU
cr48;hu132;CR contains HU
cr49;td14;CR for TD
cr51;td14;CR for TD
cr52;td14;CR for TD
cr53;td14;CR for TD
cr50;td14;CR for TD
cr48;hu135;CR contains HU
cr48;hu133;CR contains HU
td15;vh6;Regular VH for TD
tr3;cr33;TR loads CR
tr5;cr51;TR loads CR
tr2;cr47;TR loads CR
tr4;cr52;TR loads CR
tr1;cr53;TR loads CR
tr6;cr27;TR loads CR
cr53;hu149;CR contains HU
cr53;hu148;CR contains HU
cr33;hu138;CR contains HU
cr33;hu142;CR contains HU
cr33;hu139;CR contains HU
cr27;hu145;CR contains HU
cr33;hu140;CR contains HU
cr51;hu165;CR contains HU
cr54;td15;CR for TD
cr55;td15;CR for TD
cr56;td15;CR for TD
cr57;td15;CR for TD
cr58;td15;CR for TD
cr52;hu156;CR contains HU
cr52;hu153;CR contains HU
cr53;hu147;CR contains HU
cr27;hu144;CR contains HU
cr47;hu159;CR contains HU
cr47;hu158;CR contains HU
cr53;hu150;CR contains HU
cr47;hu162;CR contains HU
cr47;hu161;CR contains HU
cr52;hu155;CR contains HU
cr47;hu160;CR contains HU
cr51;hu166;CR contains HU
cr52;hu154;CR contains HU
tr1;cr25;TR loads CR
cr52;hu152;CR contains HU
co14;td16;TD for CO
cr27;hu146;CR contains HU
cr47;hu157;CR contains HU
td16;vh10;Regular VH for TD
cr25;hu170;CR contains HU
cr52;hu151;CR contains HU
co19;td17;TD for CO
tr6;cr49;TR loads CR
tr2;cr50;TR loads CR
cr25;hu173;CR contains HU
cr33;hu143;CR contains HU
cr51;hu168;CR contains HU
cr49;hu180;CR contains HU
td17;vh4;High-Prio VH for TD
td17;vh7;Regular VH for TD
tr4;cr15;TR loads CR
cr49;hu175;CR contains HU
cr33;hu141;CR contains HU
cr25;hu174;CR contains HU
cr49;hu177;CR contains HU
cr51;hu167;CR contains HU
cr59;td16;CR for TD
cr60;td16;CR for TD
cr15;hu189;CR contains HU
cr15;hu190;CR contains HU
cr15;hu188;CR contains HU
cr25;hu172;CR contains HU
